,location,size,total_sqft,bath,price
0,1st Block Jayanagar,4,2850.0,4.0,428.0
1,1st Block Jayanagar,3,1630.0,3.0,194.0
2,1st Block Jayanagar,3,1875.0,2.0,235.0
3,1st Block Jayanagar,3,1200.0,2.0,130.0
4,1st Block Jayanagar,2,1235.0,2.0,148.0    
5,1st Block Jayanagar,4,2750.0,4.0,413.0
6,1st Block Jayanagar,4,2450.0,4.0,368.0
7,1st Block Koramangala,2,1415.0,2.0,110.0
8,1st Block Koramangala,2,860.0,2.0,65.5
9,1st Block Koramangala,4,3000.0,3.0,300.0
10,1st Block Koramangala,3,2350.0,3.0,210.0
11,1st Block Koramangala,4,3000.0,5.0,500.0
13,1st Phase JP Nagar,3,1875.0,3.0,167.0
14,1st Phase JP Nagar,5,1500.0,5.0,85.0
15,1st Phase JP Nagar,3,2065.0,4.0,210.0
17,1st Phase JP Nagar,3,2059.0,3.0,225.0
18,1st Phase JP Nagar,2,1394.0,2.0,100.0
19,1st Phase JP Nagar,2,1077.0,2.0,93.0
20,1st Phase JP Nagar,2,1566.0,2.0,180.0
21,1st Phase JP Nagar,1,840.0,2.0,50.0
22,1st Phase JP Nagar,3,1590.0,3.0,131.0
23,1st Phase JP Nagar,3,2180.0,3.0,210.0
24,1st Phase JP Nagar,2,1180.0,2.0,88.5
25,1st Phase JP Nagar,2,1200.0,2.0,86.0
26,1st Phase JP Nagar,2,1394.0,2.0,85.0
27,1st Phase JP Nagar,3,2077.0,3.0,175.0
29,1st Phase JP Nagar,2,1205.0,2.0,85.0
31,1st Phase JP Nagar,2,900.0,2.0,75.0
32,2nd Phase Judicial Layout,3,1450.0,2.0,50.75
33,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
34,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
35,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
36,2nd Phase Judicial Layout,2,900.0,2.0,41.0
37,2nd Phase Judicial Layout,3,1681.0,3.0,69.0
38,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
39,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
40,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0
41,2nd Stage Nagarbhavi,6,3000.0,8.0,451.0
42,2nd Stage Nagarbhavi,6,2400.0,8.0,450.0
43,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0
44,2nd Stage Nagarbhavi,4,1200.0,4.0,225.0
45,2nd Stage Nagarbhavi,4,1500.0,3.0,230.0
46,5th Block Hbr Layout,2,1206.0,2.0,56.0
47,5th Block Hbr Layout,3,1270.0,2.0,70.0
48,5th Block Hbr Layout,2,1312.0,2.0,69.0
49,5th Block Hbr Layout,2,1100.0,2.0,48.0
50,5th Block Hbr Layout,5,3600.0,5.0,130.0
51,5th Block Hbr Layout,6,5100.0,5.0,300.0
52,5th Phase JP Nagar,2,1075.0,2.0,60.0
53,5th Phase JP Nagar,2,1150.0,3.0,52.5
54,5th Phase JP Nagar,2,1256.0,2.0,62.8
55,5th Phase JP Nagar,2,1207.0,2.0,63.0
56,5th Phase JP Nagar,3,1725.0,2.0,100.0
57,5th Phase JP Nagar,2,1440.0,2.0,60.0
58,5th Phase JP Nagar,3,1700.0,2.0,100.0
60,5th Phase JP Nagar,5,2500.0,5.0,110.0
61,5th Phase JP Nagar,1,600.0,1.0,30.0
62,5th Phase JP Nagar,2,1390.0,2.0,65.0
63,5th Phase JP Nagar,2,1256.0,2.0,62.8
64,5th Phase JP Nagar,2,1000.0,2.0,48.0
65,5th Phase JP Nagar,3,1350.0,2.0,75.0
66,5th Phase JP Nagar,1,552.0,1.0,23.5
67,5th Phase JP Nagar,2,1200.0,2.0,51.0
71,5th Phase JP Nagar,2,1030.0,2.0,57.0
72,5th Phase JP Nagar,2,1200.0,2.0,68.0
73,5th Phase JP Nagar,2,1190.0,2.0,61.8
74,5th Phase JP Nagar,5,4000.0,5.0,170.0
75,5th Phase JP Nagar,2,1080.0,2.0,53.0
76,5th Phase JP Nagar,2,1041.0,2.0,54.0
77,5th Phase JP Nagar,2,812.0,2.0,42.0
78,5th Phase JP Nagar,2,1010.0,2.0,57.0
80,5th Phase JP Nagar,2,1075.0,2.0,60.0
81,6th Phase JP Nagar,2,1192.0,2.0,74.0
82,6th Phase JP Nagar,2,1180.0,2.0,80.0
83,6th Phase JP Nagar,4,3245.0,4.0,250.0
84,6th Phase JP Nagar,3,1645.0,3.0,100.0
85,6th Phase JP Nagar,2,1140.0,2.0,65.0
86,6th Phase JP Nagar,3,2040.0,3.0,200.0
87,6th Phase JP Nagar,2,1213.0,2.0,63.0
88,6th Phase JP Nagar,2,1216.0,2.0,60.0
89,6th Phase JP Nagar,2,1460.0,2.0,80.0
90,6th Phase JP Nagar,3,2003.0,3.0,200.0
91,6th Phase JP Nagar,3,1810.0,3.0,131.0
92,6th Phase JP Nagar,3,1515.0,2.0,135.0
93,6th Phase JP Nagar,2,1192.0,2.0,75.0
94,6th Phase JP Nagar,2,1280.0,2.0,88.0
95,7th Phase JP Nagar,2,1080.0,2.0,72.0
96,7th Phase JP Nagar,2,1270.0,2.0,93.0
97,7th Phase JP Nagar,3,1420.0,2.0,100.0
98,7th Phase JP Nagar,3,1850.0,3.0,150.0
99,7th Phase JP Nagar,2,1245.0,2.0,94.0
100,7th Phase JP Nagar,2,1175.0,2.0,82.0
101,7th Phase JP Nagar,3,1400.0,2.0,95.0
102,7th Phase JP Nagar,3,2225.0,3.0,160.0
103,7th Phase JP Nagar,2,1050.0,2.0,71.0
104,7th Phase JP Nagar,2,1100.0,2.0,46.0
105,7th Phase JP Nagar,2,918.0,2.0,50.49
106,7th Phase JP Nagar,3,1450.0,2.0,100.0
107,7th Phase JP Nagar,2,1190.0,2.0,49.98
108,7th Phase JP Nagar,3,1420.0,2.0,96.0
109,7th Phase JP Nagar,3,1680.0,3.0,120.0
110,7th Phase JP Nagar,2,980.0,2.0,69.0
111,7th Phase JP Nagar,2,1180.0,2.0,72.0
115,7th Phase JP Nagar,3,1400.0,3.0,115.0
116,7th Phase JP Nagar,2,1270.0,2.0,83.0
118,7th Phase JP Nagar,4,2503.0,4.0,188.0
119,7th Phase JP Nagar,3,2200.0,3.0,190.0
122,7th Phase JP Nagar,3,1575.0,2.0,110.0
123,7th Phase JP Nagar,3,1850.0,3.0,140.0
124,7th Phase JP Nagar,3,1575.0,2.0,120.0
125,7th Phase JP Nagar,3,1850.0,3.0,150.0
126,7th Phase JP Nagar,3,1680.0,3.0,120.0
127,7th Phase JP Nagar,2,1175.0,2.0,82.5
130,7th Phase JP Nagar,2,1215.0,2.0,90.0
131,7th Phase JP Nagar,2,1050.0,2.0,75.0
132,7th Phase JP Nagar,3,1300.0,3.0,89.13
133,7th Phase JP Nagar,2,1130.0,2.0,73.0
134,7th Phase JP Nagar,3,1450.0,3.0,100.0
136,7th Phase JP Nagar,2,1050.0,2.0,50.0
137,7th Phase JP Nagar,2,1275.0,2.0,87.0
139,7th Phase JP Nagar,3,1650.0,3.0,110.0
140,7th Phase JP Nagar,2,850.0,2.0,42.0
141,7th Phase JP Nagar,3,1680.0,3.0,117.0
142,7th Phase JP Nagar,3,1850.0,3.0,150.0
143,7th Phase JP Nagar,2,1236.0,2.0,61.33
144,7th Phase JP Nagar,2,1000.0,2.0,53.0
145,7th Phase JP Nagar,3,1680.0,3.0,125.0
146,7th Phase JP Nagar,3,1675.0,2.0,135.0
147,7th Phase JP Nagar,2,1187.0,2.0,59.0
148,7th Phase JP Nagar,3,1850.0,3.0,155.0
149,7th Phase JP Nagar,2,1000.0,2.0,61.0
150,7th Phase JP Nagar,3,1460.0,2.0,100.0
151,7th Phase JP Nagar,3,1650.0,3.0,110.0
152,7th Phase JP Nagar,2,1200.0,2.0,62.5
153,7th Phase JP Nagar,2,1000.0,2.0,70.65
154,7th Phase JP Nagar,2,1080.0,2.0,75.0
156,7th Phase JP Nagar,3,1680.0,3.0,125.0
157,7th Phase JP Nagar,3,1460.0,2.0,97.0
158,7th Phase JP Nagar,2,1120.0,2.0,65.0
159,7th Phase JP Nagar,2,1100.0,3.0,60.0
160,7th Phase JP Nagar,3,1790.0,3.0,120.0
161,7th Phase JP Nagar,3,1680.0,3.0,117.0
162,7th Phase JP Nagar,2,1050.0,2.0,77.0
163,7th Phase JP Nagar,2,1050.0,2.0,75.0
164,7th Phase JP Nagar,2,1040.0,2.0,75.0
165,7th Phase JP Nagar,3,1400.0,2.0,95.0
166,7th Phase JP Nagar,3,1800.0,3.0,130.0
167,7th Phase JP Nagar,2,1050.0,2.0,68.0
168,7th Phase JP Nagar,2,1000.0,2.0,60.0
169,7th Phase JP Nagar,3,1680.0,3.0,125.0
170,7th Phase JP Nagar,2,1050.0,2.0,77.47
171,7th Phase JP Nagar,2,1270.0,2.0,80.0
173,7th Phase JP Nagar,3,1680.0,3.0,122.0
174,7th Phase JP Nagar,2,1130.0,2.0,85.0
175,7th Phase JP Nagar,3,1680.0,3.0,130.0
176,7th Phase JP Nagar,2,980.0,2.0,77.44
